Ano;Município;populacao
2017;Juquitiba (SP);31027
2017;Juramento (MG);4358
2017;Juranda (PR);7650
2017;Jurema (PE);15284
2017;Jurema (PI);4683
2017;Juripiranga (PB);10770
2017;Juru (PB);9868
2017;Juruá (AM);13956
2017;Juruaia (MG);10341
2017;Juruena (MT);14913
2017;Juruti (PA);56325
2017;Juscimeira (MT);10971
2017;Jussara (BA);16006
2017;Jussara (GO);19239
2017;Jussara (PR);7026
2017;Jussari (BA);6275
2017;Jussiape (BA);7066
2017;Jutaí (AM);15824
2017;Juti (MS);6553
2017;Juvenília (MG);5860
2017;Kaloré (PR);4368
2017;Lábrea (AM);44861
2017;Lacerdópolis (SC);2251
2017;Ladainha (MG);18152
2017;Ladário (MS);22590
2017;Lafaiete Coutinho (BA);3975
2017;Lagamar (MG);7795
2017;Lagarto (SE);104099
2017;Lages (SC);158508
2017;Lago da Pedra (MA);49856
2017;Lago do Junco (MA);10672
2017;Lago dos Rodrigues (MA);8664
2017;Lago Verde (MA);16025
2017;Lagoa (PB);4666
2017;Lagoa Alegre (PI);8395
2017;Lagoa Bonita do Sul (RS);2852
2017;Lagoa da Canoa (AL);18175
2017;Lagoa da Confusão (TO);12808
2017;Lagoa da Prata (MG);51204
2017;Lagoa d'Anta (RN);6793
2017;Lagoa de Dentro (PB);7670
2017;Lagoa de Itaenga (PE);21338
2017;Lagoa de Pedras (RN);7579
2017;Lagoa de São Francisco (PI);6646
2017;Lagoa de Velhos (RN);2771
2017;Lagoa do Barro do Piauí (PI);4582
2017;Lagoa do Carro (PE);17847
2017;Lagoa do Mato (MA);11048
2017;Lagoa do Ouro (PE);13033
2017;Lagoa do Piauí (PI);3996
2017;Lagoa do Sítio (PI);5087
2017;Lagoa do Tocantins (TO);4191
2017;Lagoa dos Gatos (PE);16218
2017;Lagoa dos Patos (MG);4248
2017;Lagoa dos Três Cantos (RS);1650
2017;Lagoa Dourada (MG);13056
2017;Lagoa Formosa (MG);18175
2017;Lagoa Grande (MG);9440
2017;Lagoa Grande (PE);25294
2017;Lagoa Grande do Maranhão (MA);11286
2017;Lagoa Nova (RN);15590
2017;Lagoa Real (BA);16029
2017;Lagoa Salgada (RN);8269
2017;Lagoa Santa (GO);1490
2017;Lagoa Santa (MG);61752
2017;Lagoa Seca (PB);27543
2017;Lagoa Vermelha (RS);28454
2017;Lagoão (RS);6516
2017;Lagoinha (SP);4943
2017;Lagoinha do Piauí (PI);2796
2017;Laguna (SC);45311
2017;Laguna Carapã (MS);7177
2017;Laje (BA);24306
2017;Laje do Muriaé (RJ);7217
2017;Lajeado (RS);79819
2017;Lajeado (TO);3092
2017;Lajeado do Bugre (RS);2596
2017;Lajeado Grande (SC);1453
2017;Lajeado Novo (MA);7489
2017;Lajedão (BA);4068
2017;Lajedinho (BA);4017
2017;Lajedo (PE);39888
2017;Lajedo do Tabocal (BA);8886
2017;Lajes (RN);11316
2017;Lajes Pintadas (RN);4822
2017;Lajinha (MG);20301
2017;Lamarão (BA);9007
2017;Lambari (MG);20870
2017;Lambari D'Oeste (MT);5887
2017;Lamim (MG);3498
2017;Landri Sales (PI);5217
2017;Lapa (PR);48067
2017;Lapão (BA);28244
2017;Laranja da Terra (ES);11457
2017;Laranjal (MG);6852
2017;Laranjal (PR);6205
2017;Laranjal do Jari (AP);47554
2017;Laranjal Paulista (SP);27890
2017;Laranjeiras (SE);29700
2017;Laranjeiras do Sul (PR);32379
2017;Lassance (MG);6664
2017;Lastro (PB);2725
2017;Laurentino (SC);6790
2017;Lauro de Freitas (BA);197636
2017;Lauro Müller (SC);15149
2017;Lavandeira (TO);1875
2017;Lavínia (SP);11156
2017;Lavras (MG);102124
2017;Lavras da Mangabeira (CE);31335
2017;Lavras do Sul (RS);7807
2017;Lavrinhas (SP);7150
2017;Leandro Ferreira (MG);3300
2017;Lebon Régis (SC);12133
2017;Leme (SP);101184
2017;Leme do Prado (MG);4998
2017;Lençóis (BA);11636
2017;Lençóis Paulista (SP);67185
2017;Leoberto Leal (SC);3140
2017;Leopoldina (MG);53354
2017;Leopoldo de Bulhões (GO);7773
2017;Leópolis (PR);4131
2017;Liberato Salzano (RS);5686
2017;Liberdade (MG);5296
2017;Licínio de Almeida (BA);12969
2017;Lidianópolis (PR);3662
2017;Lima Campos (MA);11695
2017;Lima Duarte (MG);16910
2017;Limeira (SP);300911
2017;Limeira do Oeste (MG);7487
2017;Limoeiro (PE);56140
2017;Limoeiro de Anadia (AL);28953
2017;Limoeiro do Ajuru (PA);28138
2017;Limoeiro do Norte (CE);58915
2017;Lindoeste (PR);5071
2017;Lindóia (SP);7695
2017;Lindóia do Sul (SC);4615
2017;Lindolfo Collor (RS);5765
2017;Linha Nova (RS);1712
2017;Linhares (ES);169048
2017;Lins (SP);77021
2017;Livramento (PB);7386
2017;Livramento de Nossa Senhora (BA);46739
2017;Lizarda (TO);3787
2017;Loanda (PR);22903
2017;Lobato (PR);4751
2017;Logradouro (PB);4343
2017;Londrina (PR);558439
2017;Lontra (MG);9044
2017;Lontras (SC);11774
2017;Lorena (SP);87980
2017;Loreto (MA);12009
2017;Lourdes (SP);2270
2017;Louveira (SP);45922
2017;Lucas do Rio Verde (MT);61515
2017;Lucélia (SP);21461
2017;Lucena (PB);13121
2017;Lucianópolis (SP);2381
2017;Luciara (MT);2043
2017;Lucrécia (RN);4002
2017;Luís Antônio (SP);14021
2017;Luís Correia (PI);29792
2017;Luís Domingues (MA);6867
2017;Luís Eduardo Magalhães (BA);83557
2017;Luís Gomes (RN);10211
2017;Luisburgo (MG);6409
2017;Luislândia (MG);6756
2017;Luiz Alves (SC);12413
2017;Luiziana (PR);7455
2017;Luiziânia (SP);5633
2017;Luminárias (MG);5572
2017;Lunardelli (PR);5063
2017;Lupércio (SP);4573
2017;Lupionópolis (PR);4911
2017;Lutécia (SP);2705
2017;Luz (MG);18400
2017;Luzerna (SC);5705
2017;Luziânia (GO);199615
2017;Luzilândia (PI);25082
2017;Luzinópolis (TO);3038
2017;Macaé (RJ);244139
2017;Macaíba (RN);80031
2017;Macajuba (BA);11879
2017;Maçambará (RS);4804
2017;Macambira (SE);6920
2017;Macapá (AP);474706
2017;Macaparana (PE);25214
2017;Macarani (BA);19110
2017;Macatuba (SP);17111
2017;Macau (RN);31859
2017;Macaubal (SP);8086
2017;Macaúbas (BA);50987
2017;Macedônia (SP);3736
2017;Maceió (AL);1029129
2017;Machacalis (MG);7237
2017;Machadinho (RS);5640
2017;Machadinho D'Oeste (RO);38609
2017;Machado (MG);41920
2017;Machados (PE);15820
2017;Macieira (SC);1799
2017;Macuco (RJ);5434
2017;Macururé (BA);8266
2017;Madalena (CE);19800
2017;Madeiro (PI);8170
2017;Madre de Deus (BA);21007
2017;Madre de Deus de Minas (MG);5153
2017;Mãe d'Água (PB);4009
2017;Mãe do Rio (PA);29260
2017;Maetinga (BA);4456
2017;Mafra (SC);55907
2017;Magalhães Barata (PA);8316
2017;Magalhães de Almeida (MA);19779
2017;Magda (SP);3185
2017;Magé (RJ);237420
2017;Maiquinique (BA);10274
2017;Mairi (BA);19695
2017;Mairinque (SP);46567
2017;Mairiporã (SP);95601
2017;Mairipotaba (GO);2432
2017;Major Gercino (SC);3429
2017;Major Isidoro (AL);20200
2017;Major Sales (RN);4002
2017;Major Vieira (SC);8015
2017;Malacacheta (MG);19157
2017;Malhada (BA);17526
2017;Malhada de Pedras (BA);8856
2017;Malhada dos Bois (SE);3693
2017;Malhador (SE);12691
2017;Mallet (PR);13738
2017;Malta (PB);5665
2017;Mamanguape (PB);45005
2017;Mambaí (GO);8271
2017;Mamborê (PR);13798
2017;Mamonas (MG);6624
2017;Mampituba (RS);3079
2017;Manacapuru (AM);96460
2017;Manaíra (PB);11120
2017;Manaquiri (AM);30222
2017;Manari (PE);21047
2017;Manaus (AM);2130264
2017;Mâncio Lima (AC);17910
2017;Mandaguaçu (PR);22164
2017;Mandaguari (PR);34559
2017;Mandirituba (PR);25662
2017;Manduri (SP);9714
2017;Manfrinópolis (PR);2861
2017;Manga (MG);19372
2017;Mangaratiba (RJ);42415
2017;Mangueirinha (PR);17269
2017;Manhuaçu (MG);88580
2017;Manhumirim (MG);22784
2017;Manicoré (AM);54708
2017;Manoel Emídio (PI);5266
2017;Manoel Ribas (PR);13708
2017;Manoel Urbano (AC);8886
2017;Manoel Viana (RS);7383
2017;Manoel Vitorino (BA);14251
2017;Mansidão (BA);13959
2017;Mantena (MG);28132
2017;Mantenópolis (ES);15419
2017;Maquiné (RS);7016
2017;Mar de Espanha (MG);12743
2017;Mar Vermelho (AL);3579
2017;Mara Rosa (GO);10228
2017;Maraã (AM);18531
2017;Marabá (PA);271594
2017;Marabá Paulista (SP);5611
2017;Maracaçumé (MA);21293
2017;Maracaí (SP);13981
2017;Maracajá (SC);7139
2017;Maracaju (MS);44994
2017;Maracanã (PA);28679
2017;Maracanaú (CE);224804
2017;Maracás (BA);23018
2017;Maragogi (AL);32940
2017;Maragogipe (BA);46260
2017;Maraial (PE);11433
2017;Marajá do Sena (MA);7604
2017;Maranguape (CE);126486
2017;Maranhãozinho (MA);16366
2017;Marapanim (PA);27569
2017;Marapoama (SP);2949
2017;Maratá (RS);2677
2017;Marataízes (ES);38670
2017;Maraú (BA);21313
2017;Marau (RS);41059
2017;Maravilha (AL);9418
2017;Maravilha (SC);25076
2017;Maravilhas (MG);7876
2017;Marcação (PB);8586
2017;Marcelândia (MT);10422
2017;Marcelino Ramos (RS);4941
2017;Marcelino Vieira (RN);8492
2017;Marcionílio Souza (BA);10931
2017;Marco (CE);26981
2017;Marcolândia (PI);8342
2017;Marcos Parente (PI);4478
2017;Marechal Cândido Rondon (PR);51795
2017;Marechal Deodoro (AL);52260
2017;Marechal Floriano (ES);16545
2017;Marechal Thaumaturgo (AC);17897
2017;Marema (SC);1906
2017;Mari (PB);21854
2017;Maria da Fé (MG);14488
2017;Maria Helena (PR);5932
2017;Marialva (PR);34955
2017;Mariana (MG);59857
2017;Mariana Pimentel (RS);3932
2017;Mariano Moro (RS);2190
2017;Marianópolis do Tocantins (TO);5054
2017;Mariápolis (SP);4087
2017;Maribondo (AL);13514
2017;Maricá (RJ);153008
2017;Marilac (MG);4254
2017;Marilândia (ES);12602
2017;Marilândia do Sul (PR);9068
2017;Marilena (PR);7166
2017;Marília (SP);235234
2017;Mariluz (PR);10555
2017;Maringá (PR);406693
2017;Marinópolis (SP);2140
2017;Mário Campos (MG);14988
2017;Mariópolis (PR);6638
2017;Maripá (PR);5776
2017;Maripá de Minas (MG);2979
2017;Marituba (PA);127858
2017;Marizópolis (PB);6614
2017;Marliéria (MG);4129
2017;Marmeleiro (PR);14539
2017;Marmelópolis (MG);2900
2017;Marques de Souza (RS);4159
2017;Marquinho (PR);4725
2017;Martinho Campos (MG);13436
2017;Martinópole (CE);11082
2017;Martinópolis (SP);26123
2017;Martins (RN);8793
2017;Martins Soares (MG);8172
2017;Maruim (SE);17297
2017;Marumbi (PR);4765
2017;Marzagão (GO);2226
2017;Mascote (BA);14728
2017;Massapê (CE);38210
2017;Massapê do Piauí (PI);6338
2017;Massaranduba (PB);13853
2017;Massaranduba (SC);16455
2017;Mata (RS);5124
2017;Mata de São João (BA);46998
2017;Mata Grande (AL);25589
2017;Mata Roma (MA);16745
2017;Mata Verde (MG);8539
2017;Matão (SP);82307
2017;Mataraca (PB);8466
2017;Mateiros (TO);2614
2017;Matelândia (PR);17640
2017;Materlândia (MG);4619
2017;Mateus Leme (MG);30678
2017;Mathias Lobato (MG);3342
2017;Matias Barbosa (MG);14449
2017;Matias Cardoso (MG);10999
2017;Matias Olímpio (PI);10759
2017;Matina (BA);12488
2017;Matinha (MA);23091
2017;Matinhas (PB);4537
2017;Matinhos (PR);33450
2017;Matipó (MG);18914
2017;Mato Castelhano (RS);2574
2017;Mato Grosso (PB);2915
2017;Mato Leitão (RS);4276
2017;Mato Queimado (RS);1780
2017;Mato Rico (PR);3576
2017;Mato Verde (MG);12849
2017;Matões (MA);33374
2017;Matões do Norte (MA);16908
2017;Matos Costa (SC);2614
2017;Matozinhos (MG);37344
2017;Matrinchã (GO);4490
2017;Matriz de Camaragibe (AL);25012
2017;Matupá (MT);15870
2017;Maturéia (PB);6587
2017;Matutina (MG);3846
2017;Mauá (SP);462005
2017;Mauá da Serra (PR);10039
2017;Maués (AM);62212
2017;Maurilândia (GO);13379
2017;Maurilândia do Tocantins (TO);3409
2017;Mauriti (CE);46548
2017;Maxaranguape (RN);12223
2017;Maximiliano de Almeida (RS);4804
2017;Mazagão (AP);20387
2017;Medeiros (MG);3765
2017;Medeiros Neto (BA);23586
2017;Medianeira (PR);45586
2017;Medicilândia (PA);30726
2017;Medina (MG);21409
2017;Meleiro (SC);7047
2017;Melgaço (PA);26897
2017;Mendes (RJ);18123
2017;Mendes Pimentel (MG);6564
2017;Mendonça (SP);5302
2017;Mercedes (PR);5476
2017;Mercês (MG);10868
2017;Meridiano (SP);3892
2017;Meruoca (CE);14948
2017;Mesópolis (SP);1926
2017;Mesquita (MG);5911
2017;Mesquita (RJ);171280
2017;Messias (AL);17988
2017;Messias Targino (RN);4608
2017;Miguel Alves (PI);33209
2017;Miguel Calmon (BA);27520
2017;Miguel Leão (PI);1228
2017;Miguel Pereira (RJ);24871
2017;Miguelópolis (SP);21973
2017;Milagres (BA);11585
2017;Milagres (CE);28231
2017;Milagres do Maranhão (MA);8326
2017;Milhã (CE);13136
2017;Milton Brandão (PI);6511
2017;Mimoso de Goiás (GO);2702
2017;Mimoso do Sul (ES);27388
2017;Minaçu (GO);30696
2017;Minador do Negrão (AL);5413
2017;Minas do Leão (RS);8059
2017;Minas Novas (MG);32009
2017;Minduri (MG);3970
2017;Mineiros (GO);62750
2017;Mineiros do Tietê (SP);12812
2017;Ministro Andreazza (RO);10751
2017;Mira Estrela (SP);3045
2017;Mirabela (MG);13726
2017;Miracatu (SP);20288
2017;Miracema (RJ);26551
2017;Miracema do Tocantins (TO);19055
2017;Mirador (MA);20613
2017;Mirador (PR);2314
2017;Miradouro (MG);10837
2017;Miraguaí (RS);4975
2017;Miraí (MG);14946
2017;Miraíma (CE);13583
2017;Miranda (MS);27525
2017;Miranda do Norte (MA);28456
2017;Mirandiba (PE);15270
2017;Mirandópolis (SP);29315
2017;Mirangaba (BA);18729
2017;Miranorte (TO);13426
2017;Mirante (BA);9578
2017;Mirante da Serra (RO);12258
2017;Mirante do Paranapanema (SP);18130
2017;Miraselva (PR);1875
2017;Mirassol (SP);58760
2017;Mirassol d'Oeste (MT);26768
2017;Mirassolândia (SP);4758
2017;Miravânia (MG);4885
2017;Mirim Doce (SC);2374
2017;Mirinzal (MA);14744
2017;Missal (PR);10879
2017;Missão Velha (CE);35409
2017;Mocajuba (PA);30277
2017;Mococa (SP);68994
2017;Modelo (SC);4192
2017;Moeda (MG);4957
2017;Moema (MG);7525
2017;Mogeiro (PB);13286
2017;Mogi das Cruzes (SP);433901
2017;Mogi Guaçu (SP);149396
2017;Mogi Mirim (SP);92365
2017;Moiporá (GO);1666
2017;Moita Bonita (SE);11438
2017;Moju (PA);79825
2017;Mojuí dos Campos (PA);15646
2017;Mombaça (CE);43735
2017;Mombuca (SP);3470
2017;Monção (MA);33156
2017;Monções (SP);2249
2017;Mondaí (SC);11496
2017;Mongaguá (SP);54257
2017;Monjolos (MG);2327
2017;Monsenhor Gil (PI);10409
2017;Monsenhor Hipólito (PI);7621
2017;Monsenhor Paulo (MG);8711
2017;Monsenhor Tabosa (CE);17038
2017;Montadas (PB);5691
2017;Montalvânia (MG);15603
2017;Montanha (ES);19391
2017;Montanhas (RN);11503
2017;Montauri (RS);1545
2017;Monte Alegre (PA);56466
2017;Monte Alegre (RN);22462
2017;Monte Alegre de Goiás (GO);8464
2017;Monte Alegre de Minas (MG);21095
2017;Monte Alegre de Sergipe (SE);15177
2017;Monte Alegre do Piauí (PI);10448
2017;Monte Alegre do Sul (SP);7871
2017;Monte Alegre dos Campos (RS);3249
2017;Monte Alto (SP);49979
2017;Monte Aprazível (SP);24393
2017;Monte Azul (MG);21783
2017;Monte Azul Paulista (SP);19234
2017;Monte Belo (MG);13453
2017;Monte Belo do Sul (RS);2689
2017;Monte Carlo (SC);9785
2017;Monte Carmelo (MG);48248
2017;Monte Castelo (SC);8471
2017;Monte Castelo (SP);4190
2017;Monte das Gameleiras (RN);2178
2017;Monte do Carmo (TO);7770
2017;Monte Formoso (MG);4936
2017;Monte Horebe (PB);4825
2017;Monte Mor (SP);57240
2017;Monte Negro (RO);16186
2017;Monte Santo (BA);51953
2017;Monte Santo de Minas (MG);21949
2017;Monte Santo do Tocantins (TO);2264
2017;Monte Sião (MG);23444
2017;Monteiro (PB);33294
2017;Monteiro Lobato (SP);4549
2017;Monteirópolis (AL);7260
2017;Montenegro (RS);63868
2017;Montes Altos (MA);8889
2017;Montes Claros (MG);402027
2017;Montes Claros de Goiás (GO);8236
2017;Montezuma (MG);8168
2017;Montividiu (GO);12566
2017;Montividiu do Norte (GO);4447
2017;Morada Nova (CE);61548
2017;Morada Nova de Minas (MG);8860
2017;Moraújo (CE);8636
2017;Moreilândia (PE);11238
2017;Moreira Sales (PR);12621
2017;Moreno (PE);62119
2017;Mormaço (RS);2986
2017;Morpará (BA);8950
2017;Morretes (PR);16540
2017;Morrinhos (CE);22222
2017;Morrinhos (GO);45382
2017;Morrinhos do Sul (RS);3166
2017;Morro Agudo (SP);32220
2017;Morro Agudo de Goiás (GO);2351
2017;Morro Cabeça no Tempo (PI);4066
2017;Morro da Fumaça (SC);17532
2017;Morro da Garça (MG);2595
2017;Morro do Chapéu (BA);36856
2017;Morro do Chapéu do Piauí (PI);6684
2017;Morro do Pilar (MG);3339
2017;Morro Grande (SC);2915
2017;Morro Redondo (RS);6566
2017;Morro Reuter (RS);6183
2017;Morros (MA);19282
2017;Mortugaba (BA);12529
2017;Morungaba (SP);13232
2017;Mossâmedes (GO);4700
2017;Mossoró (RN);295619
2017;Mostardas (RS);12794
2017;Motuca (SP);4676
2017;Mozarlândia (GO);15125
2017;Muaná (PA);39231
2017;Mucajaí (RR);16852
2017;Mucambo (CE);14377
2017;Mucugê (BA);9957
2017;Muçum (RS);5006
2017;Mucuri (BA);42072
2017;Mucurici (ES);5861
2017;Muitos Capões (RS);3156
2017;Muliterno (RS);1903
2017;Mulungu (CE);12831
2017;Mulungu (PB);9922
2017;Mulungu do Morro (BA);11988
2017;Mundo Novo (BA);27364
2017;Mundo Novo (GO);5661
2017;Mundo Novo (MS);18103
2017;Munhoz (MG);6261
2017;Munhoz de Melo (PR);3958
2017;Muniz Ferreira (BA);7678
2017;Muniz Freire (ES);18745
2017;Muquém do São Francisco (BA);11644
2017;Muqui (ES);15806
2017;Muriaé (MG);108537
2017;Muribeca (SE);7683
2017;Murici (AL);28579
2017;Murici dos Portelas (PI);8997
2017;Muricilândia (TO);3507
2017;Muritiba (BA);30631
2017;Murutinga do Sul (SP);4453
2017;Mutuípe (BA);22998
2017;Mutum (MG);27528
2017;Mutunópolis (GO);3906
2017;Muzambinho (MG);21026
2017;Nacip Raydan (MG);3274
2017;Nantes (SP);3049
2017;Nanuque (MG);41787
2017;Não-Me-Toque (RS);17185
2017;Naque (MG);6930
2017;Narandiba (SP);4746
2017;Natal (RN);885180
2017;Natalândia (MG);3382
2017;Natércia (MG);4820
2017;Natividade (RJ);14960
2017;Natividade (TO);9312
2017;Natividade da Serra (SP);6754
2017;Natuba (PB);10460
2017;Navegantes (SC);77137
2017;Naviraí (MS);53188
2017;Nazaré (BA);29546
2017;Nazaré (TO);4060
2017;Nazaré da Mata (PE);32280
2017;Nazaré do Piauí (PI);7231
2017;Nazaré Paulista (SP);18121
2017;Nazareno (MG);8583
2017;Nazarezinho (PB);7296
2017;Nazária (PI);8425
2017;Nazário (GO);8850
2017;Neópolis (SE);18953
2017;Nepomuceno (MG);27053
2017;Nerópolis (GO);28271
2017;Neves Paulista (SP);8999
2017;Nhamundá (AM);20902
2017;Nhandeara (SP);11398
2017;Nicolau Vergueiro (RS);1752
2017;Nilo Peçanha (BA);14368
2017;Nilópolis (RJ);158329
2017;Nina Rodrigues (MA);14489
2017;Ninheira (MG);10375
2017;Nioaque (MS);14092
2017;Nipoã (SP);4994
2017;Niquelândia (GO);45913
2017;Nísia Floresta (RN);27372
2017;Niterói (RJ);499028
2017;Nobres (MT);14917
2017;Nonoai (RS);12247
2017;Nordestina (BA);13597
2017;Normandia (RR);10527
2017;Nortelândia (MT);5895
2017;Nossa Senhora Aparecida (SE);8869
2017;Nossa Senhora da Glória (SE);36613
2017;Nossa Senhora das Dores (SE);26624
2017;Nossa Senhora das Graças (PR);4075
2017;Nossa Senhora de Lourdes (SE);6530
2017;Nossa Senhora de Nazaré (PI);4786
2017;Nossa Senhora do Livramento (MT);12484
2017;Nossa Senhora do Socorro (SE);181928
2017;Nossa Senhora dos Remédios (PI);8547
2017;Nova Aliança (SP);6733
2017;Nova Aliança do Ivaí (PR);1536
2017;Nova Alvorada (RS);3481
2017;Nova Alvorada do Sul (MS);20772
2017;Nova América (GO);2373
2017;Nova América da Colina (PR);3545
2017;Nova Andradina (MS);52625
2017;Nova Araçá (RS);4471
2017;Nova Aurora (GO);2206
2017;Nova Aurora (PR);11300
2017;Nova Bandeirantes (MT);14473
2017;Nova Bassano (RS);9599
2017;Nova Belém (MG);3465
2017;Nova Boa Vista (RS);1932
2017;Nova Brasilândia (MT);3827
2017;Nova Brasilândia D'Oeste (RO);21747
2017;Nova Bréscia (RS);3344
2017;Nova Campina (SP);9504
2017;Nova Canaã (BA);17141
2017;Nova Canaã do Norte (MT);12388
2017;Nova Canaã Paulista (SP);1978
2017;Nova Candelária (RS);2807
2017;Nova Cantu (PR);6295
2017;Nova Castilho (SP);1239
2017;Nova Colinas (MA);5350
2017;Nova Crixás (GO);12810
2017;Nova Cruz (RN);37695
2017;Nova Era (MG);17994
2017;Nova Erechim (SC);4879
2017;Nova Esperança (PR);28084
2017;Nova Esperança do Piriá (PA);20789
2017;Nova Esperança do Sudoeste (PR);5194
2017;Nova Esperança do Sul (RS);5125
2017;Nova Europa (SP);10755
2017;Nova Fátima (BA);8119
2017;Nova Fátima (PR);8356
2017;Nova Floresta (PB);10639
2017;Nova Friburgo (RJ);185381
2017;Nova Glória (GO);8521
2017;Nova Granada (SP);21071
2017;Nova Guarita (MT);4457
2017;Nova Guataporanga (SP);2304
2017;Nova Hartz (RS);20405
2017;Nova Ibiá (BA);6986
2017;Nova Iguaçu (RJ);798647
2017;Nova Iguaçu de Goiás (GO);2961
2017;Nova Independência (SP);3745
2017;Nova Iorque (MA);4586
2017;Nova Ipixuna (PA);16221
2017;Nova Itaberaba (SC);4339
2017;Nova Itarana (BA);8428
2017;Nova Lacerda (MT);6338
2017;Nova Laranjeiras (PR);11927
2017;Nova Lima (MG);92178
2017;Nova Londrina (PR);13486
2017;Nova Luzitânia (SP);3953
2017;Nova Mamoré (RO);28891
2017;Nova Marilândia (MT);3159
2017;Nova Maringá (MT);8182
2017;Nova Módica (MG);3757
2017;Nova Monte Verde (MT);8822
2017;Nova Mutum (MT);42607
2017;Nova Nazaré (MT);3655
2017;Nova Odessa (SP);58227
2017;Nova Olímpia (MT);19465
2017;Nova Olímpia (PR);5829
2017;Nova Olinda (CE);15433
2017;Nova Olinda (PB);5944
2017;Nova Olinda (TO);11715
2017;Nova Olinda do Maranhão (MA);20768
2017;Nova Olinda do Norte (AM);36431
2017;Nova Pádua (RS);2568
2017;Nova Palma (RS);6605
2017;Nova Palmeira (PB);4910
2017;Nova Petrópolis (RS);20675
2017;Nova Ponte (MG);14934
2017;Nova Porteirinha (MG);7648
2017;Nova Prata (RS);25559
2017;Nova Prata do Iguaçu (PR);10745
2017;Nova Ramada (RS);2417
2017;Nova Redenção (BA);9500
2017;Nova Resende (MG);16645
2017;Nova Roma (GO);3437
2017;Nova Roma do Sul (RS);3603
2017;Nova Rosalândia (TO);4203
2017;Nova Russas (CE);32035
2017;Nova Santa Bárbara (PR);4217
2017;Nova Santa Helena (MT);3596
2017;Nova Santa Rita (PI);4302
2017;Nova Santa Rita (RS);26450
2017;Nova Santa Rosa (PR);8186
2017;Nova Serrana (MG);94681
2017;Nova Soure (BA);25460
2017;Nova Tebas (PR);6498
2017;Nova Timboteua (PA);14942
2017;Nova Trento (SC);14099
2017;Nova Ubiratã (MT);11352
2017;Nova União (MG);5804
2017;Nova União (RO);7769
2017;Nova Venécia (ES);50991
2017;Nova Veneza (GO);9389
2017;Nova Veneza (SC);14837
2017;Nova Viçosa (BA);44052
2017;Nova Xavantina (MT);20639
2017;Novais (SP);5527
2017;Novo Acordo (TO);4267
2017;Novo Airão (AM);18586
2017;Novo Alegre (TO);2353
2017;Novo Aripuanã (AM);25112
2017;Novo Barreiro (RS);4181
2017;Novo Brasil (GO);3242
2017;Novo Cabrais (RS);4125
2017;Novo Cruzeiro (MG);31884
2017;Novo Gama (GO);110096
2017;Novo Hamburgo (RS);249508
2017;Novo Horizonte (BA);12514
2017;Novo Horizonte (SC);2532
2017;Novo Horizonte (SP);40225
2017;Novo Horizonte do Norte (MT);3876
2017;Novo Horizonte do Oeste (RO);10051
2017;Novo Horizonte do Sul (MS);4041
2017;Novo Itacolomi (PR);2908
2017;Novo Jardim (TO);2697
2017;Novo Lino (AL);12821
2017;Novo Machado (RS);3757
2017;Novo Mundo (MT);8730
2017;Novo Oriente (CE);28353
2017;Novo Oriente de Minas (MG);10869
2017;Novo Oriente do Piauí (PI);6466
2017;Novo Planalto (GO);4387
2017;Novo Progresso (PA);25071
2017;Novo Repartimento (PA);73802
2017;Novo Santo Antônio (MT);2498
2017;Novo Santo Antônio (PI);2940
2017;Novo São Joaquim (MT);5066
2017;Novo Tiradentes (RS);2312
2017;Novo Triunfo (BA);16037
2017;Novo Xingu (RS);1790
2017;Novorizonte (MG);5308
2017;Nuporanga (SP);7341
2017;Óbidos (PA);50727
2017;Ocara (CE);25394
2017;Ocauçu (SP);4308
2017;Oeiras (PI);36432
2017;Oeiras do Pará (PA);31619
2017;Oiapoque (AP);25514
2017;Olaria (MG);1873
2017;Óleo (SP);2583
2017;Olho d'Água (PB);6512
2017;Olho d'Água das Cunhãs (MA);19206
2017;Olho d'Água das Flores (AL);21767
2017;Olho d'Água do Borges (RN);4349
2017;Olho d'Água do Casado (AL);9459
2017;Olho D'Água do Piauí (PI);2417
2017;Olho d'Água Grande (AL);5195
2017;Olhos-d'Água (MG);5943
2017;Olímpia (SP);54037
2017;Olímpio Noronha (MG);2763
2017;Olinda (PE);390771
2017;Olinda Nova do Maranhão (MA);14637
2017;Olindina (BA);29227
2017;Olivedos (PB);3951
2017;Oliveira (MG);41907
2017;Oliveira de Fátima (TO);1110
2017;Oliveira dos Brejinhos (BA);22805
2017;Oliveira Fortes (MG);2182
2017;Olivença (AL);11772
2017;Onça de Pitangui (MG);3192
2017;Onda Verde (SP);4286
2017;Oratórios (MG);4710
2017;Oriente (SP);6473
2017;Orindiúva (SP);6731
2017;Oriximiná (PA);71078
2017;Orizânia (MG);7949
2017;Orizona (GO);15472
2017;Orlândia (SP);43306
2017;Orleans (SC);22723
2017;Orobó (PE);23768
2017;Orocó (PE);14794
2017;Orós (CE);21292
2017;Ortigueira (PR);23200
2017;Osasco (SP);697886
2017;Oscar Bressane (SP);2616
2017;Osório (RS);44468
2017;Osvaldo Cruz (SP);32709
2017;Otacílio Costa (SC);18313
2017;Ourém (PA);17356
2017;Ouriçangas (BA);8916
2017;Ouricuri (PE);68776
2017;Ourilândia do Norte (PA);31921
2017;Ourinhos (SP);111813
2017;Ourizona (PR);3494
2017;Ouro (SC);7363
2017;Ouro Branco (AL);11635
2017;Ouro Branco (MG);38935
